RMSE,max_depth,max_features,min_samples_leaf,min_samples_split
64856.2891223205,50.0,log2,1,100
64856.2891223205,,log2,1,100
64918.43702142423,10.0,log2,15,50
64918.43702142423,10.0,sqrt,15,50
64934.888572371376,10.0,sqrt,5,75
64934.888572371376,10.0,log2,5,75
65248.190639597786,,sqrt,5,75
65248.190639597786,30.0,sqrt,5,75
65248.190639597786,30.0,log2,5,75
65248.190639597786,50.0,log2,5,75
65248.190639597786,50.0,sqrt,5,75
65248.190639597786,,log2,5,75
65262.336032618696,10.0,log2,15,10
65262.336032618696,10.0,log2,15,20
65262.336032618696,10.0,sqrt,15,20
65262.336032618696,10.0,sqrt,15,10
65364.81542622714,,sqrt,5,50
65364.81542622714,50.0,log2,5,50
65364.81542622714,,log2,5,50
65364.81542622714,30.0,log2,5,50
65364.81542622714,30.0,sqrt,5,50
65364.81542622714,50.0,sqrt,5,50
65379.93540686691,,sqrt,10,10
65379.93540686691,50.0,sqrt,10,10
65379.93540686691,50.0,sqrt,10,20
65379.93540686691,30.0,sqrt,10,20
65379.93540686691,30.0,log2,10,20
65379.93540686691,30.0,log2,10,10
65379.93540686691,,sqrt,10,20
65379.93540686691,,log2,10,20
65379.93540686691,,log2,10,10
65379.93540686691,50.0,log2,10,20
65379.93540686691,50.0,log2,10,10
65379.93540686691,30.0,sqrt,10,10
65391.403330574525,50.0,sqrt,20,75
65391.403330574525,50.0,log2,20,75
65391.403330574525,30.0,log2,20,75
65391.403330574525,,sqrt,20,75
65391.403330574525,30.0,sqrt,20,75
65391.403330574525,,log2,20,75
65497.4245722632,10.0,sqrt,20,50
65497.4245722632,10.0,log2,20,50
65626.94820047177,,sqrt,20,100
65626.94820047177,,log2,20,100
65626.94820047177,50.0,sqrt,20,100
65626.94820047177,30.0,log2,20,100
65626.94820047177,30.0,sqrt,20,100
65626.94820047177,50.0,log2,20,100
65734.26257760468,10.0,log2,20,100
65734.26257760468,10.0,sqrt,20,100
65762.54587089381,30.0,log2,5,100
65762.54587089381,,sqrt,5,100
65762.54587089381,,log2,5,100
65762.54587089381,50.0,log2,5,100
65762.54587089381,50.0,sqrt,5,100
65762.54587089381,30.0,sqrt,5,100
65778.51610031429,50.0,sqrt,10,75
65778.51610031429,,log2,10,75
65778.51610031429,50.0,log2,10,75
65778.51610031429,,sqrt,10,75
65778.51610031429,30.0,log2,10,75
65778.51610031429,30.0,sqrt,10,75
65813.53310100382,30.0,log2,15,75
65813.53310100382,30.0,sqrt,15,75
65813.53310100382,,sqrt,15,75
65813.53310100382,,log2,15,75
65813.53310100382,50.0,sqrt,15,75
65813.53310100382,50.0,log2,15,75
65865.15899187431,,log2,1,75
65865.15899187431,50.0,log2,1,75
65865.15899187431,,sqrt,1,75
65865.15899187431,30.0,log2,1,75
